,Unnamed: 0,qkey,attribute,group,D_H,R_H
53,53,GUNFRIEND_W26,Overall,Overall,"[0.2180034, 0.38041748, 0.2595687, 0.14201043]",0.0028098853957557
54,54,GUNACTIVITYA_W26,Overall,Overall,"[0.02839477, 0.12255816, 0.16519166, 0.68385541]",0.0031461601105445
55,55,WORRYD_W26,Overall,Overall,"[0.33814359, 0.40568232, 0.25617409]",0.0033815464747322
56,56,GUNACCESS_W26,Overall,Overall,"[0.38704125, 0.17048009, 0.12402007, 0.31845858]",0.003118381885692
57,57,GUNCONTRIBF_W26,Overall,Overall,"[0.29347778, 0.44683119, 0.22687249, 0.03281854]",0.0045107244819302
59,59,GUNRESPNOKIDSF_W26,Overall,Overall,"[0.42491765, 0.31608887, 0.17740819, 0.0815853]",0.009537809754136
60,60,GUNLOCKED2_W26,Overall,Overall,"[0.42986963, 0.57013037]",0.0
61,61,REASONGUNE_W26,Overall,Overall,"[0.08147238, 0.0973383, 0.82118932]",0.0053819047867183
63,63,WORRYE_W26,Overall,Overall,"[0.1273958, 0.54231361, 0.33029059]",0.0010560760316844
64,64,GROWUPGUN2C_W26,Overall,Overall,"[0.46009457, 0.53990543]",0.0023115602668592
65,65,GUNACTIVITYB_W26,Overall,Overall,"[0.05506222, 0.22725511, 0.24497072, 0.47271196]",0.0041137051729399
68,68,GUNRESPNOKIDSD_W26,Overall,Overall,"[0.17374681, 0.20992159, 0.42919845, 0.18713315]",0.0026340134323412
69,69,NOCARRYGUN_W26,Overall,Overall,"[0.61888992, 0.38111008]",0.0
71,71,GUNRESPNOKIDSA_W26,Overall,Overall,"[0.58513247, 0.26845653, 0.11727971, 0.02913129]",0.0053092806197454
72,72,GROWUPGUN2B_W26,Overall,Overall,"[0.66715866, 0.33284134]",0.0032938192258771
75,75,GROWUPGUN2A_W26,Overall,Overall,"[0.60482947, 0.39517053]",0.0024962177221438
76,76,WORRYF_W26,Overall,Overall,"[0.11531283, 0.37589373, 0.50879344]",0.001255436121265
77,77,REASONGUNB_W26,Overall,Overall,"[0.38042321, 0.22871773, 0.39085906]",0.0019450335915062
78,0,GROWUPVIOL_W26,CREGION,Midwest,"[0.03869028, 0.10718166, 0.25248734, 0.60164071]",0.0092955968813992
79,1,GROWUPVIOL_W26,CREGION,Northeast,"[0.04781153, 0.10045141, 0.18700772, 0.66472934]",0.0018299148933701
80,2,GROWUPVIOL_W26,CREGION,South,"[0.05614888, 0.09955709, 0.26010384, 0.58419019]",0.0031801639492415
81,3,GROWUPVIOL_W26,CREGION,West,"[0.03933173, 0.12472512, 0.30185536, 0.53408779]",0.0027079458364985
86,8,GUNSAFETYKIDS_W26,CREGION,Midwest,"[0.68331304, 0.31585179, 0.00083516]",0.0
87,9,GUNSAFETYKIDS_W26,CREGION,Northeast,"[0.40242215, 0.57819629, 0.01938156]",0.0
88,10,GUNSAFETYKIDS_W26,CREGION,South,"[0.62409851, 0.37590149, 0.0]",0.0
89,11,GUNSAFETYKIDS_W26,CREGION,West,"[0.58890548, 0.398616, 0.01247851]",0.0
90,12,GUNRESPNOKIDSE_W26,CREGION,Midwest,"[0.46366387, 0.22140237, 0.22828333, 0.08665043]",0.0327414642573675
91,13,GUNRESPNOKIDSE_W26,CREGION,Northeast,"[0.52139355, 0.16070786, 0.1882979, 0.12960069]",0.0055500101379428
92,14,GUNRESPNOKIDSE_W26,CREGION,South,"[0.52003308, 0.18171824, 0.22284814, 0.07540053]",0.0031892242107992
93,15,GUNRESPNOKIDSE_W26,CREGION,West,"[0.48657637, 0.27379735, 0.1122406, 0.12738568]",0.0069651639295645
94,16,WORRYB_W26,CREGION,Midwest,"[0.11891764, 0.46053531, 0.42054705]",0.0008789358996916
95,17,WORRYB_W26,CREGION,Northeast,"[0.14491682, 0.42151251, 0.43357067]",0.0
96,18,WORRYB_W26,CREGION,South,"[0.17361505, 0.4286664, 0.39771856]",0.0008021450611817
97,19,WORRYB_W26,CREGION,West,"[0.16436395, 0.39188414, 0.44375192]",0.0018024826254225
98,20,GUNRESPNOKIDSC_W26,CREGION,Midwest,"[0.71535973, 0.24080463, 0.02817866, 0.01565698]",0.0188501575673884
99,21,GUNRESPNOKIDSC_W26,CREGION,Northeast,"[0.7778179, 0.18101357, 0.03019633, 0.0109722]",0.0052040045294517
100,22,GUNRESPNOKIDSC_W26,CREGION,South,"[0.62208034, 0.25211013, 0.10845882, 0.01735071]",0.0013082249684663
101,23,GUNRESPNOKIDSC_W26,CREGION,West,"[0.67035959, 0.26164658, 0.06799383, 0.0]",0.0057004184227114
106,28,REASONGUNA_W26,CREGION,Midwest,"[0.58944171, 0.32392319, 0.0866351]",0.0070069455047911
107,29,REASONGUNA_W26,CREGION,Northeast,"[0.55094263, 0.23344222, 0.21561515]",0.0
108,30,REASONGUNA_W26,CREGION,South,"[0.74503283, 0.19503547, 0.05993169]",0.0
109,31,REASONGUNA_W26,CREGION,West,"[0.70053797, 0.24940365, 0.05005838]",0.0
122,44,REASONGUND_W26,CREGION,Midwest,"[0.1576196, 0.27731852, 0.56506188]",0.0082837012728682
123,45,REASONGUND_W26,CREGION,Northeast,"[0.13700811, 0.22607467, 0.63691723]",0.0
124,46,REASONGUND_W26,CREGION,South,"[0.10616486, 0.29544741, 0.59838773]",0.0054550297033324
125,47,REASONGUND_W26,CREGION,West,"[0.13460907, 0.31159012, 0.5538008]",0.0
126,48,SHOOTFREQ_W26,CREGION,Midwest,"[0.05632911, 0.20760651, 0.27081532, 0.46524906]",0.0021129436090527
127,49,SHOOTFREQ_W26,CREGION,Northeast,"[0.03102268, 0.14075333, 0.3272208, 0.50100319]",0.0022981773828819
128,50,SHOOTFREQ_W26,CREGION,South,"[0.05500675, 0.21953614, 0.29882277, 0.42663433]",0.0075757792174219
129,51,SHOOTFREQ_W26,CREGION,West,"[0.04907676, 0.20318061, 0.28772959, 0.46001303]",0.0011624802104887
130,52,GUNLOADED1_W26,CREGION,Midwest,"[0.11859572, 0.37373475, 0.50766954]",0.0118415250321143
131,53,GUNLOADED1_W26,CREGION,Northeast,"[0.02856786, 0.29610965, 0.67532248]",0.0070863926574915
132,54,GUNLOADED1_W26,CREGION,South,"[0.22646599, 0.40502081, 0.3685132]",0.0122386811641429
133,55,GUNLOADED1_W26,CREGION,West,"[0.08127397, 0.3917752, 0.52695083]",0.0208159278995464
142,64,GUNTYPEOWNC_W26,CREGION,Midwest,"[0.5181763, 0.19443876, 0.28738494]",0.0151857031812964
143,65,GUNTYPEOWNC_W26,CREGION,Northeast,"[0.37745529, 0.14372303, 0.47882168]",0.001724576829305
144,66,GUNTYPEOWNC_W26,CREGION,South,"[0.40622065, 0.23816307, 0.35561628]",0.0190506012350811
145,67,GUNTYPEOWNC_W26,CREGION,West,"[0.3598875, 0.1815795, 0.458533]",0.027143173423464
146,68,GUNCONTRIBA_W26,CREGION,Midwest,"[0.29788367, 0.27023617, 0.2867639, 0.14511626]",0.009396028876566
147,69,GUNCONTRIBA_W26,CREGION,Northeast,"[0.35408984, 0.29620453, 0.24023275, 0.10947287]",0.0128639330674191
148,70,GUNCONTRIBA_W26,CREGION,South,"[0.28362844, 0.28648794, 0.27603439, 0.15384923]",0.0022015718734076
149,71,GUNCONTRIBA_W26,CREGION,West,"[0.28840339, 0.31613939, 0.2839477, 0.11150951]",0.0016367125964066
158,80,GUNLOCKED1_W26,CREGION,Midwest,"[0.43316059, 0.26115667, 0.30568274]",0.0134798870817126
159,81,GUNLOCKED1_W26,CREGION,Northeast,"[0.47796794, 0.22571701, 0.29631505]",0.0095052908297256
160,82,GUNLOCKED1_W26,CREGION,South,"[0.35082517, 0.29885293, 0.3503219]",0.0055862692382883
161,83,GUNLOCKED1_W26,CREGION,West,"[0.50537258, 0.24347784, 0.25114958]",0.0164436392728009
178,100,GUNLOADED2_W26,CREGION,Midwest,"[0.11782044, 0.88217956]",0.006740633382841
179,101,GUNLOADED2_W26,CREGION,Northeast,"[0.15293314, 0.84706686]",0.0
180,102,GUNLOADED2_W26,CREGION,South,"[0.54759908, 0.45240092]",0.0
181,103,GUNLOADED2_W26,CREGION,West,"[0.16598423, 0.83401577]",0.0172740005667045
182,104,GUNSAFE_W26,CREGION,Midwest,"[0.67010827, 0.01676576, 0.31312597]",0.0045369741257711
183,105,GUNSAFE_W26,CREGION,Northeast,"[0.61989806, 0.02690116, 0.35320078]",0.0
184,106,GUNSAFE_W26,CREGION,South,"[0.75529659, 0.04755356, 0.19714985]",0.001339972210667
185,107,GUNSAFE_W26,CREGION,West,"[0.61504087, 0.03412471, 0.35083442]",0.0021086282070352
190,112,CARRYGUN_W26,CREGION,Midwest,"[0.10869414, 0.17030594, 0.32298046, 0.39801946]",0.0
191,113,CARRYGUN_W26,CREGION,Northeast,"[0.1133046, 0.08545515, 0.35480123, 0.44643902]",0.0
192,114,CARRYGUN_W26,CREGION,South,"[0.14921507, 0.17119121, 0.29885232, 0.3807414]",0.0032029941755001
193,115,CARRYGUN_W26,CREGION,West,"[0.08419661, 0.11144759, 0.3200748, 0.484281]",0.0
202,124,GUNCONTRIBE_W26,CREGION,Midwest,"[0.29827964, 0.30056776, 0.27902885, 0.12212375]",0.0023490250769236
203,125,GUNCONTRIBE_W26,CREGION,Northeast,"[0.26095285, 0.28989002, 0.32784885, 0.12130828]",0.0070549628762663
204,126,GUNCONTRIBE_W26,CREGION,South,"[0.30005775, 0.33471535, 0.24511684, 0.12011006]",0.0042380865064286
205,127,GUNCONTRIBE_W26,CREGION,West,"[0.23423219, 0.33804894, 0.26902352, 0.15869534]",0.0025568651847608
206,128,GROWUPGUN4_W26,CREGION,Midwest,"[0.2095832, 0.41010992, 0.27771262, 0.10259426]",0.0094401913728326
207,129,GROWUPGUN4_W26,CREGION,Northeast,"[0.10902758, 0.3916449, 0.33532959, 0.16399793]",0.002979932227381
208,130,GROWUPGUN4_W26,CREGION,South,"[0.26132913, 0.39526177, 0.24430164, 0.09910746]",0.0091226881988072
209,131,GROWUPGUN4_W26,CREGION,West,"[0.17324885, 0.39168919, 0.29758781, 0.13747416]",0.0071092679417508
222,144,GUNCONTRIBC_W26,CREGION,Midwest,"[0.21259825, 0.29443885, 0.3969392, 0.09602369]",0.0189319900306637
223,145,GUNCONTRIBC_W26,CREGION,Northeast,"[0.30729958, 0.29337831, 0.32720786, 0.07211425]",0.0008340538032386
224,146,GUNCONTRIBC_W26,CREGION,South,"[0.2579218, 0.29295765, 0.33346116, 0.11565938]",0.0016191169504697
225,147,GUNCONTRIBC_W26,CREGION,West,"[0.24625698, 0.33656064, 0.33193081, 0.08525157]",0.0023113638806045
230,152,GUNIDENTITY_W26,CREGION,Midwest,"[0.27084822, 0.23767748, 0.28955242, 0.20192189]",0.0
231,153,GUNIDENTITY_W26,CREGION,Northeast,"[0.12572123, 0.22858781, 0.34714328, 0.29854767]",0.0
232,154,GUNIDENTITY_W26,CREGION,South,"[0.26984226, 0.24416313, 0.2977146, 0.18828]",0.0129156820223927
233,155,GUNIDENTITY_W26,CREGION,West,"[0.22563235, 0.24244685, 0.32500933, 0.20691147]",0.0
242,164,IMPREASONGUN_W26,CREGION,Midwest,"[0.32496163, 0.35248847, 0.22829956, 0.0502285, 0.04402183]",0.0117080352657736
243,165,IMPREASONGUN_W26,CREGION,Northeast,"[0.5005924, 0.29748692, 0.11524777, 0.04587419, 0.04079873]",0.0
244,166,IMPREASONGUN_W26,CREGION,South,"[0.54452943, 0.29760891, 0.06646063, 0.04792117, 0.04347986]",0.000993811812962
245,167,IMPREASONGUN_W26,CREGION,West,"[0.56420454, 0.25627466, 0.11727782, 0.02689073, 0.03535225]",0.0
246,168,GROWUPGUN6_W26,CREGION,Midwest,"[0.06036067, 0.21908908, 0.26599997, 0.45455028]",0.0045425095722498
247,169,GROWUPGUN6_W26,CREGION,Northeast,"[0.0500791, 0.16601171, 0.27813175, 0.50577745]",0.002679308730914
248,170,GROWUPGUN6_W26,CREGION,South,"[0.07480579, 0.19465265, 0.19423352, 0.53630804]",0.0001153250934559
249,171,GROWUPGUN6_W26,CREGION,West,"[0.05705955, 0.1958832, 0.26037144, 0.48668581]",0.0066120792644918
250,172,GUNRESPNOKIDSB_W26,CREGION,Midwest,"[0.50699792, 0.30785431, 0.13794944, 0.04719833]",0.0211051319538297
251,173,GUNRESPNOKIDSB_W26,CREGION,Northeast,"[0.59423244, 0.24905408, 0.08454034, 0.07217314]",0.0024005832221906
252,174,GUNRESPNOKIDSB_W26,CREGION,South,"[0.42517625, 0.26425698, 0.16531055, 0.14525622]",0.0078348597212988
253,175,GUNRESPNOKIDSB_W26,CREGION,West,"[0.4398253, 0.31276862, 0.18636944, 0.06103663]",0.0102485812853873
258,180,GUNRESPKIDSE_W26,CREGION,Midwest,"[0.44584518, 0.23697029, 0.24003722, 0.07714731]",0.0026788119469
259,181,GUNRESPKIDSE_W26,CREGION,Northeast,"[0.37371122, 0.33536971, 0.22719005, 0.06372902]",0.0030106837517594
260,182,GUNRESPKIDSE_W26,CREGION,South,"[0.42910424, 0.32519812, 0.17371755, 0.0719801]",0.0067482145521422
261,183,GUNRESPKIDSE_W26,CREGION,West,"[0.42293361, 0.33367228, 0.18387041, 0.0595237]",0.0154239429612491
266,188,GUNRESPKIDSD_W26,CREGION,Midwest,"[0.20127162, 0.22133855, 0.38267778, 0.19471205]",0.0
267,189,GUNRESPKIDSD_W26,CREGION,Northeast,"[0.16777795, 0.28206953, 0.32282903, 0.22732349]",0.0036703055172221
268,190,GUNRESPKIDSD_W26,CREGION,South,"[0.17205755, 0.2401891, 0.34624054, 0.24151281]",0.0013231185208908
269,191,GUNRESPKIDSD_W26,CREGION,West,"[0.15300398, 0.32016987, 0.31392341, 0.21290274]",0.0031523623101138
278,200,GROWUPGUN7_W26,CREGION,Midwest,"[0.17856247, 0.2504692, 0.19261991, 0.37834842]",0.0025828278769584
279,201,GROWUPGUN7_W26,CREGION,Northeast,"[0.08129482, 0.23517557, 0.23644736, 0.44708224]",0.0017659684357513
280,202,GROWUPGUN7_W26,CREGION,South,"[0.1740939, 0.21479236, 0.2301771, 0.38093664]",0.0065858881346357
281,203,GROWUPGUN7_W26,CREGION,West,"[0.16511177, 0.21719438, 0.22578464, 0.39190921]",0.0007736654741951
286,208,REASONGUNC_W26,CREGION,Midwest,"[0.33749549, 0.36993011, 0.2925744]",0.0082837012728682
287,209,REASONGUNC_W26,CREGION,Northeast,"[0.40716932, 0.34272127, 0.25010941]",0.0046088025920239
288,210,REASONGUNC_W26,CREGION,South,"[0.23652866, 0.42727492, 0.33619642]",0.0026223484747796
289,211,REASONGUNC_W26,CREGION,West,"[0.3682568, 0.32098032, 0.31076289]",0.0
290,212,GUNFRIEND_W26,CREGION,Midwest,"[0.26901773, 0.40789714, 0.20378815, 0.11929698]",0.0032641082133596
291,213,GUNFRIEND_W26,CREGION,Northeast,"[0.09106033, 0.3223517, 0.35306403, 0.23352394]",0.0031082405741233
292,214,GUNFRIEND_W26,CREGION,South,"[0.27703853, 0.37955683, 0.23269577, 0.11070886]",0.0024513335353838
293,215,GUNFRIEND_W26,CREGION,West,"[0.17885338, 0.40404646, 0.27800533, 0.13909483]",0.0027350970641618
294,216,GUNACTIVITYA_W26,CREGION,Midwest,"[0.03573845, 0.11635952, 0.1732694, 0.67463263]",0.0076922158483875
295,217,GUNACTIVITYA_W26,CREGION,Northeast,"[0.01131629, 0.0841816, 0.15597201, 0.7485301]",0.0019638248359759
296,218,GUNACTIVITYA_W26,CREGION,South,"[0.03714732, 0.13332479, 0.14985034, 0.67967756]",0.0018982240289998
297,219,GUNACTIVITYA_W26,CREGION,West,"[0.0214148, 0.14195113, 0.19031972, 0.64631434]",0.0019888475079167
298,220,WORRYD_W26,CREGION,Midwest,"[0.31008683, 0.43396997, 0.25594319]",0.0033963812403791
299,221,WORRYD_W26,CREGION,Northeast,"[0.39628856, 0.37283522, 0.23087622]",0.0029393278888791
300,222,WORRYD_W26,CREGION,South,"[0.33370344, 0.38740888, 0.27888768]",0.0021595521150368
301,223,WORRYD_W26,CREGION,West,"[0.3234281, 0.43623052, 0.24034138]",0.0056646058725209
302,224,GUNACCESS_W26,CREGION,Midwest,"[0.39486294, 0.14721101, 0.09428161, 0.36364443]",0.0065321967906427
303,225,GUNACCESS_W26,CREGION,Northeast,"[0.24552725, 0.11659718, 0.07681157, 0.56106399]",0.0
304,226,GUNACCESS_W26,CREGION,South,"[0.46821158, 0.16821245, 0.14546598, 0.21810999]",0.0028198557297393
305,227,GUNACCESS_W26,CREGION,West,"[0.27700998, 0.22049595, 0.13114712, 0.37134695]",0.0015058654555402
306,228,GUNCONTRIBF_W26,CREGION,Midwest,"[0.31947517, 0.43031821, 0.21944598, 0.03076064]",0.0012576940086561
307,229,GUNCONTRIBF_W26,CREGION,Northeast,"[0.3117226, 0.45323309, 0.21192082, 0.02312349]",0.0134305161698551
308,230,GUNCONTRIBF_W26,CREGION,South,"[0.28302146, 0.4558741, 0.23963096, 0.02147347]",0.0031700254768812
309,231,GUNCONTRIBF_W26,CREGION,West,"[0.27288472, 0.44191494, 0.22490246, 0.06029787]",0.0023874001654908
314,236,GUNRESPNOKIDSF_W26,CREGION,Midwest,"[0.45583651, 0.32941822, 0.13868956, 0.07605571]",0.0273587661989355
315,237,GUNRESPNOKIDSF_W26,CREGION,Northeast,"[0.54234476, 0.24788624, 0.15813037, 0.05163863]",0.0011992099316439
316,238,GUNRESPNOKIDSF_W26,CREGION,South,"[0.38609083, 0.31116465, 0.18617088, 0.11657365]",0.0056206437920037
317,239,GUNRESPNOKIDSF_W26,CREGION,West,"[0.36237857, 0.36903112, 0.21499325, 0.05359705]",0.0060670765476816
318,240,GUNLOCKED2_W26,CREGION,Midwest,"[0.46239844, 0.53760156]",0.0
319,241,GUNLOCKED2_W26,CREGION,Northeast,"[0.46888651, 0.53111349]",0.0
320,242,GUNLOCKED2_W26,CREGION,South,"[0.40263166, 0.59736834]",0.0
321,243,GUNLOCKED2_W26,CREGION,West,"[0.43902854, 0.56097146]",0.0
322,244,REASONGUNE_W26,CREGION,Midwest,"[0.06893326, 0.06559095, 0.86547579]",0.0068404721104901
323,245,REASONGUNE_W26,CREGION,Northeast,"[0.08552922, 0.06105641, 0.85341437]",0.0
324,246,REASONGUNE_W26,CREGION,South,"[0.08415389, 0.13419207, 0.78165404]",0.0016346908024554
325,247,REASONGUNE_W26,CREGION,West,"[0.08728418, 0.07127803, 0.8414378]",0.0134832496406165
330,252,WORRYE_W26,CREGION,Midwest,"[0.10990184, 0.58281006, 0.3072881]",0.0
331,253,WORRYE_W26,CREGION,Northeast,"[0.14170881, 0.50097439, 0.3573168]",0.0018414992695557
332,254,WORRYE_W26,CREGION,South,"[0.14802666, 0.49434632, 0.35762701]",0.0019089110203823
333,255,WORRYE_W26,CREGION,West,"[0.09860325, 0.6158257, 0.28557105]",0.0
334,256,GROWUPGUN2C_W26,CREGION,Midwest,"[0.47831462, 0.52168538]",0.0031801577682908
335,257,GROWUPGUN2C_W26,CREGION,Northeast,"[0.52889661, 0.47110339]",0.0009420458523754
336,258,GROWUPGUN2C_W26,CREGION,South,"[0.40195573, 0.59804427]",0.0035352466327288
337,259,GROWUPGUN2C_W26,CREGION,West,"[0.50887425, 0.49112575]",0.0
338,260,GUNACTIVITYB_W26,CREGION,Midwest,"[0.03832795, 0.24858445, 0.27303183, 0.44005577]",0.0021036218306579
339,261,GUNACTIVITYB_W26,CREGION,Northeast,"[0.06823346, 0.15502431, 0.25221524, 0.524527]",0.0108487858412785
340,262,GUNACTIVITYB_W26,CREGION,South,"[0.06492907, 0.24420031, 0.20418101, 0.48668962]",0.0024078315373514
341,263,GUNACTIVITYB_W26,CREGION,West,"[0.04364788, 0.23859986, 0.27984402, 0.43790824]",0.003233762700835
350,272,GUNRESPNOKIDSD_W26,CREGION,Midwest,"[0.18435327, 0.13736042, 0.53586612, 0.1424202]",0.003768260865029
351,273,GUNRESPNOKIDSD_W26,CREGION,Northeast,"[0.15528836, 0.23576917, 0.43766882, 0.17127365]",0.0032361331348889
352,274,GUNRESPNOKIDSD_W26,CREGION,South,"[0.18052562, 0.25751465, 0.37281068, 0.18914904]",0.0006847529905991
353,275,GUNRESPNOKIDSD_W26,CREGION,West,"[0.16720452, 0.17509934, 0.41739182, 0.24030432]",0.0044258518849806
354,276,NOCARRYGUN_W26,CREGION,Midwest,"[0.47461693, 0.52538307]",0.0
355,277,NOCARRYGUN_W26,CREGION,Northeast,"[0.73041949, 0.26958051]",0.0
356,278,NOCARRYGUN_W26,CREGION,South,"[0.69714621, 0.30285379]",0.0
357,279,NOCARRYGUN_W26,CREGION,West,"[0.57202186, 0.42797814]",0.0
362,284,GUNRESPNOKIDSA_W26,CREGION,Midwest,"[0.59352628, 0.28672469, 0.11394031, 0.00580872]",0.0183549832145863
363,285,GUNRESPNOKIDSA_W26,CREGION,Northeast,"[0.67876493, 0.2319194, 0.07701641, 0.01229926]",0.0
364,286,GUNRESPNOKIDSA_W26,CREGION,South,"[0.54727003, 0.2596213, 0.14443529, 0.04867338]",0.0030125021829599
365,287,GUNRESPNOKIDSA_W26,CREGION,West,"[0.56199074, 0.29656017, 0.10892487, 0.03252423]",0.0011563788566847
366,288,GROWUPGUN2B_W26,CREGION,Midwest,"[0.75761571, 0.24238429]",0.0023712599766748
367,289,GROWUPGUN2B_W26,CREGION,Northeast,"[0.63998551, 0.36001449]",0.0
368,290,GROWUPGUN2B_W26,CREGION,South,"[0.61590841, 0.38409159]",0.0061502660225583
369,291,GROWUPGUN2B_W26,CREGION,West,"[0.68824747, 0.31175253]",0.0008595090043052
378,300,GROWUPGUN2A_W26,CREGION,Midwest,"[0.49067818, 0.50932182]",0.0026878515826218
379,301,GROWUPGUN2A_W26,CREGION,Northeast,"[0.49190314, 0.50809686]",0.0044047959961656
380,302,GROWUPGUN2A_W26,CREGION,South,"[0.71168441, 0.28831559]",0.0023106325415984
381,303,GROWUPGUN2A_W26,CREGION,West,"[0.58598718, 0.41401282]",0.0015321092628154
382,304,WORRYF_W26,CREGION,Midwest,"[0.13210221, 0.30637207, 0.56152571]",0.0002034826110397
383,305,WORRYF_W26,CREGION,Northeast,"[0.09777584, 0.45428885, 0.44793532]",0.002234175401332
384,306,WORRYF_W26,CREGION,South,"[0.13049422, 0.38543773, 0.48406804]",0.0021344679185747
385,307,WORRYF_W26,CREGION,West,"[0.09043961, 0.35937445, 0.55018594]",0.0
386,308,REASONGUNB_W26,CREGION,Midwest,"[0.46615657, 0.23636715, 0.29747628]",0.0068404721104901
387,309,REASONGUNB_W26,CREGION,Northeast,"[0.4507541, 0.17809453, 0.37115138]",0.0039118358459892
388,310,REASONGUNB_W26,CREGION,South,"[0.30134643, 0.26804089, 0.43061268]",0.0
389,311,REASONGUNB_W26,CREGION,West,"[0.42122487, 0.16398441, 0.41479072]",0.0
390,0,GROWUPVIOL_W26,AGE,18-29,"[0.09570074, 0.17359899, 0.26076276, 0.46993751]",0.0
391,1,GROWUPVIOL_W26,AGE,30-49,"[0.04927845, 0.13199689, 0.2903511, 0.52837355]",0.0087081363926754
392,2,GROWUPVIOL_W26,AGE,50-64,"[0.03038762, 0.07649063, 0.22591125, 0.6672105]",0.0018752899743906
393,3,GROWUPVIOL_W26,AGE,65+,"[0.01216018, 0.03111394, 0.22517495, 0.73155093]",0.0037610132582999
398,8,GUNSAFETYKIDS_W26,AGE,18-29,"[0.48081282, 0.50837703, 0.01081015]",0.0
399,9,GUNSAFETYKIDS_W26,AGE,30-49,"[0.57578673, 0.41851043, 0.00570284]",0.0
400,10,GUNSAFETYKIDS_W26,AGE,50-64,"[0.76588024, 0.23232648, 0.00179328]",0.0
401,11,GUNSAFETYKIDS_W26,AGE,65+,"[0.72865982, 0.25706463, 0.01427555]",0.0
402,12,GUNRESPNOKIDSE_W26,AGE,18-29,"[0.42033462, 0.32854361, 0.17782832, 0.07329345]",0.0017966467147684
403,13,GUNRESPNOKIDSE_W26,AGE,30-49,"[0.54684569, 0.18745751, 0.2088717, 0.0568251]",0.018494488964252
404,14,GUNRESPNOKIDSE_W26,AGE,50-64,"[0.48157013, 0.16252156, 0.21027208, 0.14563623]",0.0050296415264379
405,15,GUNRESPNOKIDSE_W26,AGE,65+,"[0.54021633, 0.16580277, 0.13429504, 0.15968586]",0.0158045042485716
406,16,WORRYB_W26,AGE,18-29,"[0.20924604, 0.3550578, 0.43569616]",0.0
407,17,WORRYB_W26,AGE,30-49,"[0.11820522, 0.44127698, 0.4405178]",0.0
